"cc1","cc2","rep","is_ABAC"
"an1","wei1","安危",""
"bai3","he2","捭阖",""
"bao1","bian3","褒贬",""
"ben3","mo4","本末",""
"bi3","ci3","彼此",""
"biao1","ben3","标本",""
"biao3","li3","表里",""
"bin1","zhu3","宾主",""
"bing1","tan4","冰炭",""
"bo2","zhong4","伯仲",""
"bo2","hou4","薄厚",""
"cai2","feng2","裁缝",""
"cao1","zong4","操纵",""
"chan3","xiao1","产销",""
"chang2","duan3","长短",""
"chang4","he4","唱和",""
"chao2","ye3","朝野",""
"chen2","min2","臣民",""
"chen2","fu2","沉浮",""
"chen2","hun1","晨昏",""
"cheng2","bai4","成败",""
"cheng2","zhen4","城镇",""
"cheng2","chu2","乘除",""
"chi2","zao3","迟早",""
"chu1","mo4","出没",""
"chu1","na4","出纳",""
"chu1","ru4","出入",""
"chuan2","xi2","传习",""
"chun1","qiu1","春秋",""
"ci2","xiong2","雌雄",""
"cu1","xi4","粗细",""
"cun2","wang2","存亡",""
"da4","xiao3","大小",""
"dan4","xi1","旦夕",""
"de2","shi1","得失",""
"di4","mei4","弟妹",""
"di4","xiong5","弟兄",""
"dian1","mo4","颠末",""
"dong1","xi5","东西",""
"dong4","jing4","动静",""
"duo1","gua3","多寡",""
"duo1","shao5","多少",""
"en1","yuan4","恩怨",""
"er2","nu:3","儿女",""
"fan3","zheng4","反正",""
"fang1","yuan2","方圆",""
"fei2","shou4","肥瘦",""
"feng4","huang2","凤凰",""
"fu1","fu4","夫妇",""
"fu1","qi1","夫妻",""
"fu2","chen2","浮沉",""
"fu3","yang3","俯仰",""
"fu4","mu3","父母",""
"fu4","zi3","父子",""
"gan1","ku3","甘苦",""
"gan1","zhi1","干支",""
"gan4","qun2","干群",""
"gu3","jin1","古今",""
"gang1","mu4","纲目",""
"gao1","ai3","高矮",""
"gao1","di1","高低",""
"gao1","xia4","高下",""
"gong1","po2","公婆",""
"gong1","si1","公私",""
"gong1","guo4","功过",""
"gong1","zui4","功罪",""
"gong1","qiu2","供求",""
"gong1","xu1","供需",""
"gou4","xiao1","购销",""
"guan1","bing1","官兵",""
"guang3","mao4","广袤",""
"gui1","ju5","规矩",""
"gui4","jian4","贵贱",""
"han2","re4","寒热",""
"han2","shu3","寒暑",""
"han2","xuan1","寒暄",""
"hang2","lie4","行列",""
"hao3","dai3","好歹",""
"hao4","lai4","好赖",""
"hao4","wu4","好恶",""
"hei1","bai2","黑白",""
"heng2","shu5","横竖",""
"heng2","zhi2","横直",""
"hou4","bo2","厚薄",""
"hu1","xi1","呼吸",""
"hu1","ying4","呼应",""
"huan3","ji2","缓急",""
"hui3","yu4","毁誉",""
"hui4","ming2","晦明",""
"hui4","shuo4","晦朔",""
"ji2","xiong1","吉凶",""
"jia4","se4","稼穑",""
"jiang3","cheng2","奖惩",""
"jiang4","shi4","将士",""
"jiao1","jie1","交接",""
"jiao4","xue2","教学",""
"jie3","mei4","姐妹",""
"jin1","xi1","今昔",""
"jin4","chu1","进出",""
"jin4","tui4","进退",""
"jing1","luo4","经络",""
"ju3","zhi3","举止",""
"ju4","xi4","巨细",""
"jue2","xu4","绝续",""
"jun1","min2","军民",""
"kai1","guan1","开关",""
"kao3","bi3","考妣",""
"kuai4","man4","快慢",""
"kuan1","zhai3","宽窄",""
"lai2","hui2","来回",""
"lai2","qu4","来去",""
"lai2","wang3","来往",""
"lao2","yi4","劳逸",""
"lao2","zi1","劳资",""
"lao3","shao4","老少",""
"lao3","xiao3","老小",""
"lao3","you4","老幼",""
"leng3","nuan3","冷暖",""
"li2","he2","离合",""
"li4","bi4","利弊",""
"li4","dun4","利钝",""
"li4","hai5","利害",""
"lian2","chi3","廉耻",""
"mai3","mai4","买卖",""
"mao2","dun4","矛盾",""
"ming2","mie4","明灭",""
"nan2","nu:3","男女",""
"nan2","bei3","南北",""
"nei4","wai4","内外",""
"nong2","dan4","浓淡",""
"ping2","ze4","平仄",""
"po2","xi2","婆媳",""
"pu1","gai5","铺盖",""
"qi3","fu2","起伏",""
"qi3","jiang4","起降",""
"qi3","luo4","起落",""
"qi3","qi4","起讫",""
"qi3","zhi3","起止",""
"qian1","mo4","阡陌",""
"qian2","hou4","前后",""
"qian2","kun1","乾坤",""
"qin1","shu1","亲疏",""
"qing1","zhong4","轻重",""
"qu1","zhi2","曲直",""
"qu3","she3","取舍",""
"qu4","jiu4","去就",""
"qu4","liu2","去留",""
"ren2","wu4","人物",""
"ren4","mian3","任免",""
"ri4","xi1","日夕",""
"ri4","ye4","日夜",""
"ri4","yue4","日月",""
"rong2","ru3","荣辱",""
"seng1","ni2","僧尼",""
"seng1","su2","僧俗",""
"shan1","shui3","山水",""
"shang3","fa2","赏罚",""
"shang4","xia4","上下",""
"shen1","suo1","伸缩",""
"shen1","shang1","参商",""
"shen1","qian3","深浅",""
"sheng1","jiang4","升降",""
"sheng1","si3","生死",""
"sheng4","bai4","胜败",""
"sheng4","fu4","胜负",""
"shi2","kong1","时空",""
"shi3","mo4","始末",""
"shi3","zhong1","始终",""
"shi4","ru3","士女",""
"shi4","fei1","是非",""
"shi4","fou3","是否",""
"shou1","fa1","收发",""
"shou1","zhi1","收支",""
"shou3","jiao3","手脚",""
"shou3","zu2","手足",""
"shou3","wei3","首尾",""
"shou4","shou4","授受",""
"shu1","juan3","舒卷",""
"shu1","ying2","输赢",""
"shui3","huo3","水火",""
"shui4","jiao4","睡觉",""
"shuo4","wang4","朔望",""
"si3","huo2","死活",""
