word1	word2	word3	word4
vuag	ub	vuag	no
xaiv	ntsej	xaiv	muag
qhov	phem	qhov	zoo
kev	neej	kev	tsav
tej	nom	tej	tswv
txhua	tsav	txhua	yam
ib	pab	ib	pawg
tus	ub	tus	no
ntau	pab	ntau	pawg
pib	hnub	pib	hmo
sib	txeeb	sib	tua
kawm	ntaub	kawm	ntawv
yog	kev	yog	cai
ua	plaub	ua	ntug
ntees	ploj	ntees	tuag
ua	tshoob	ua	kos
nqi	mis	nqi	hno
kev	ploj	kev	tuag
tuav	kwv	tuav	tij
nwg	dlaab	nwg	qhua
tsheej	tshoob	tsheej	kos
thov	dag	thov	zog
nyias	dab	nyias	qhua
ua	luaj	ua	liam
ua	kwv	ua	tij
tej	tub	tej	ntxhais
tej	mab	tej	suav
coj	noj	coj	ua
tom	vaj	tom	tsev
kho	neej	kho	tsav
lees	thuv	lees	txim
tsi	ncaj	tsi	ncees
nws	kwv	nws	tij
seem	kev	seem	cai
txoj	kab	txoj	kev
tej	neej	tej	tsav
li	kab	li	kev
lawv	kwv	lawv	tij
hais	plaub	hais	ntug
lub	vaj	lub	tsev
mus	chawj	mus	thov
qhov	ub	qhov	no
tau	zej	tau	zos
tus	hlob	tus	yau
tus	yeej	tus	swb
sab	luj	sab	dlaav
raug	cem	raug	liam
li	ub	li	no
lus	niam	lus	txiv
kawm	txawj	kawm	ntse
haus	zej	haus	zos
kev	txawj	kev	ntse
nrog	paub	nrog	hnov
luag	poj	luag	sev
dab	tooj	dab	hlau
kev	nkauj	kev	nraug
ua	pawg	ua	lug
dab	ntuj	dab	teb
kwv	tij	kwv	npaws
tua	qaib	tua	npua
rau	ub	rau	no
muaj	siab	muaj	ntsws
lub	teb	lub	chaw
zoo	siab	zoo	ntsws
tes	dej	tes	num
npaum	ub	npaum	no
deev	dub	deev	dawb
lus	nyiaj	lus	kub
suav	hnub	suav	hmo
ua	dog	ua	dig
lwm	leej	lwm	tus
sib	cav	sib	cem
sib	nrauj	sib	tso
kawg	qub	kawg	ntsis
me	tub	me	nyuam
yuav	zoo	yuav	phem
lub	ntuj	lub	teb
tos	niam	tos	txiv
koj	niam	koj	txiv
ua	noj	ua	haus
ua	liaj	ua	kam
kev	phooj	kev	ywg
haus	dej	haus	cawv
ua	phaib	ua	npiab
ua	nom	ua	tswv
los	vaj	los	tsev
hais	liaj	hais	kam
kev	nom	kev	tswv
nrhaw	nyiaj	nrhaw	txiaj
tau	noj	tau	haus
hluas	nkauj	hluas	nraug
mob	ub	mob	no
tom	ntej	tom	qab
khwv	noj	khwv	haus
ua	laj	ua	kam
nyiaj	vaj	nyiaj	tsev
chaw	txawb	chaw	rau
ua	neeb	ua	yaig
nws	vaj	nws	tsev
ua	teb	ua	chaw
puv	zej	puv	zos
puv	zos	puv	nroog
rooj	tshoob	rooj	kos
tub	lag	tub	luam
lus	tseeb	lus	zoo
hais	yeej	hais	swb
lub	paus	lub	ntsis
sis	caav	sis	tshe
tau	dej	tau	cawv
kawg	siab	kawg	ntsws
xav	mus	xav	los
tso	dag	tso	luag
pauv	sab	pauv	ntsws
tas	dawb	tas	do
kev	noj	kev	haus
le	ub	le	nua
txhua	pab	txhua	pawg
neeg	txawj	neeg	ntse
tsi	txawj	tsi	ntse
tsaj	nyeg	tsaj	qus
tug	ub	tug	nuav
kev	coj	kev	ua
dag	noj	dag	haus
tub	tes	tub	taw
rooj	nom	rooj	tswv
pa	ntsuab	pa	xiav
hmoob	niam	hmoob	txiv
tim	ntsej	tim	muag
lub	roob	lub	haav
kawg	sab	kawg	ntsws
cam	dlej	cam	aav
yoog	tshaib	yoog	nqe
tiv	tshaav	tiv	naag
lav	tshoob	lav	kos
kev	neej	kev	tsa
ua	mus	ua	los
ntxiv	ub	ntxiv	no
sib	pab	sib	hlub
tus	niam	tus	txiv
li	teb	li	chaw
tswv	zej	tswv	zos
tus	dub	tus	dawb
tus	daj	tus	xiav
yuav	dub	yuav	mev
txoj	kev	txoj	cai
yog	txij	yog	nkawm
nus	tij	nus	npaws
lus	nkib	lus	nkaus
coj	tshoob	coj	kos
kom	lwj	kom	liam
hais	ub	hais	no
txawj	nyeem	txawj	sau
ua	hnub	ua	hmo
ua	hmo	ua	tshais
txhawb	zej	txhawb	zos
sib	qhuab	sib	qhia
sib	tog	sib	txeeb
haum	kab	haum	kev
tuav	nkaub	tuav	npe
hmoob	teej	hmoob	tug
muaj	caag	muaj	ceg
tom	zej	tom	zos
lug	toj	lug	pes
tsi	meej	tsi	pem
tsi	mus	tsi	los
me	ntswb	me	ntsis
ib	tsob	ib	txoog
kawm	txuj	kawm	ci
ua	lag	ua	luam
ntsuj	duab	ntsuj	hlaus
thiaj	leej	thiaj	tseeb
ntseeg	tseeb	ntseeg	tsum
lub	siab	lub	ntsws
muaj	teb	muaj	chaw
ntshav	siab	ntshav	qis
ua	pab	ua	pawg
sib	txeeb	sib	fuas
sib	txeeb	sib	tog
hnub	tes	hnub	taw
qab	zeb	qab	ca
muaj	siav	muaj	zog
ua	ciaj	ua	tuag
muaj	cog	muaj	ceg
ib	sij	ib	tseb
peb	niam	peb	txiv
twm	zeej	twm	kawv
hais	ncauj	hais	lu
dej	xiv	dej	npau
ua	nqaj	ua	nqug
tas	zaj	tas	zog
qee	siab	qee	ntsws
ua	txuj	ua	ci
ua	nuj	ua	nqi
tub	txawj	tub	ntse
kev	chim	kev	tu
tsuj	pem	tsuj	nram
koom	niam	koom	txiv
muaj	qab	muaj	tsuag
nram	mab	nram	suav
sib	tham	sib	paub
yawm	yij	yawm	dab
hav	zoov	hav	tsuag
siv	caij	siv	nyoog
pw	noj	pw	haus
raug	kab	raug	kev
tus	tsiaj	tus	txhuv
txom	xyoob	txom	ntoo
muaj	mob	muaj	nkees
tig	mus	tig	los
tua	tsiaj	tua	txhuv
twv	ntuj	twv	teb
dhia	zeb	dhia	tsua
hla	zeb	hla	tsua
sib	cob	sib	qhia
tog	vaj	tog	tsev
ua	nruj	ua	tsiv
lus	nruj	lus	tsiv
lub	dag	lub	zog
pluas	noj	pluas	haus
ib	paab	ib	pawg
kuag	kaab	kuag	hlau
lwm	pab	lwm	pawg
lub	koob	lub	npe
txhua	leej	txhua	tus
tej	nam	tej	txiv
luag	teb	luag	chaw
sib	hlub	sib	pab
liam	ub	liam	no
yus	cuab	yus	ntxiab
ua	tsov	ua	rog
siab	loj	siab	dav
lub	hnub	lub	hli
muaj	nyiaj	muaj	txiaj
txiv	hmab	txiv	ntoo
kev	lis	kev	cai
siv	riam	siv	phom
tos	caij	tos	nyoog
pob	roob	pob	tsuas
lub	rwj	lub	aws
ua	niam	ua	txiv
ntug	teb	ntug	chaw
neeg	txwj	neeg	laus
neeg	nom	neeg	tswv
rov	quav	rov	qees
sis	txeeb	sis	tua
sis	cav	sis	thuam
tej	puj	tej	yawm
tom	ntej	tom	qaab
paub	tab	paub	cai
txam	zeb	txam	tsua
muaj	noj	muaj	haus
me	tub	me	ntxhais
sis	cav	sis	cem
laug	hnub	laug	hmo
ua	ub	ua	no
qhov	zoo	qhov	phem
ua	zaj	ua	ntxeev
dag	siab	dag	nqi
tsis	mus	tsis	los
sis	txij	sis	luaj
ua	liaj	ua	teb
tu	tsiaj	tu	txhuv
koj	puj	koj	yawm
kev	txhoj	kev	txhaum
siab	loj	siab	ntev
neeg	ncaj	neeg	ncees
siab	dawb	siab	dav
dlaag	noj	dlaag	haus
ua	paab	ua	pawg
sib	txu	sib	txov
ua	plees	ua	yi
plis	siab	plis	ntsws
lus	plas	lus	cua
kev	iab	kev	daw
tsi	moog	tsi	lug
sib	txhawb	sib	nqa
muaj	yeej	muaj	swb
lov	npab	lov	ceg
nrim	dej	nrim	av
xeeb	leej	xeeb	ntxwv
qhov	ncaj	qhov	tseeb
lub	ntsej	lub	muag
ua	neej	ua	tsav
nom	loj	nom	me
tej	txheeb	tej	ze
tso	zis	tso	quav
hav	nroj	hav	ntoo
qw	ntuj	qw	teb
roob	tauj	roob	nqeeb
hav	tauj	hav	nqeeb
mloog	mus	mloog	los
ciam	dej	ciam	av
plhis	siab	plhis	ntsws
suav	hnub	suav	hli
txij	tog	txij	peg
sib	ceg	sib	foob
lub	zej	lub	zos
sau	yog	sau	raug
qub	nom	qub	tswv
kev	ntse	kev	zoo
rau	nom	rau	tswv
ua	tab	ua	tauv
dej	kub	dej	npau
noj	teb	noj	chaw
muaj	paus	muaj	ntsis
lus	ntxhib	lus	ntxho
kev	neej	kev	tsaav
kev	pluj	kev	tuag
kev	phem	kev	qas
pe	dlaab	pe	mlom
txuj	kev	txuj	cai
ua	dlaab	ua	qhua
nwg	dlej	nwg	num
yog	neej	yog	tsav
khoom	ub	khoom	no
tej	niam	tej	txiv
lawv	caij	lawv	xyoo
nruab	zej	nruab	zog
com	nyuj	com	twm
tsoo	ub	tsoo	nua
qab	roob	qab	hav
ua	kub	ua	ntaiv
suab	nas	suab	noog
hais	tsiaj	hais	txhuv
tsis	paub	tsis	pom
li	kev	li	cai
yog	mab	yog	suav
sib	txheeb	sib	ze
yus	neej	yus	tsav
yog	kwv	yog	tij
yog	txheeb	yog	ze
nyias	teej	nyias	tug
dim	tes	dim	taw
tis	ntsuab	tis	ze
vaj	loj	vaj	me
tim	ncauj	tim	lu
yus	txawj	yus	ntse
hus	ub	hus	no
muaj	koob	muaj	npe
sau	mus	sau	los
ntxi	ncauj	ntxi	muag
qhov	tiag	qhov	yog
nkaum	tes	nkaum	taw
ntawv	nplog	ntawv	thaib
ntawv	txwj	ntawv	laus
ncuav	tooj	ncuav	hlau
nplo	riam	nplo	txuas
sib	lo	sib	nplaum
tsis	zaum	tsis	nyoo
tim	ub	tim	no
tiav	niam	tiav	txiv
kaum	toj	kaum	hav
tuaj	saib	tuaj	xyuas
moob	neej	moob	tsaav
hmoob	neej	hmoob	tsav
muaj	nom	muaj	tswv
zoo	nkauj	zoo	nraug
poj	nrauj	poj	ntsuag
muaj	txiaj	muaj	ntsim
poj	dab	poj	ntsuag
tej	nyab	tej	ntxhais
tso	dlaag	tso	luag
puj	nrauj	puj	ntusag
keb	ub	keb	no
puj	nrauj	puj	ntsuag
nrhav	txwj	nrhav	nkawm
nrog	saib	nrog	xyuas
puv	vaj	puv	tsev
has	sab	has	qeg
paub	qab	paub	hauv
tau	pab	tau	pawg
rooj	noj	rooj	haus
nteeg	pluj	nteeg	tuag
suab	quaj	suab	nyav
rua	ub	rua	nuav
rua	ub	rua	nua
hloov	sab	hloov	ntsws
ua	kub	ua	ceev
txeeb	nom	txeeb	tswv
sib	hlub	sib	fwm
ua	rwj	ua	aws
lub	cuab	lub	yim
puas	siab	puas	ntsws
poj	nrauj	poj	ntsuam
kev	ntshaws	kev	xav
hauv	vaj	hauv	tsev
nyuaj	siab	nyuaj	ntsws
raug	ploj	raug	tuag
khub	laj	khub	kam
suab	quaj	suab	nyiav
neej	tshiab	neej	lig
hla	mus	hla	los
txua	rooj	txua	tog
kev	tshaib	kev	nqhis
hniav	ntaj	hniav	riam
ntsauv	lag	ntsauv	luam
lub	zej	lub	zog
kev	quaj	kev	nyiav
tsis	tag	tsis	kawg
sib	ntsib	sib	tham
peb	niaj	peb	xyoo
qhov	loj	qhov	me
laug	nub	laug	mo
tsaug	plaub	tsaug	ntug
ua	zaub	ua	mov
kov	ub	kov	no
puv	ntuj	puv	teb
tom	ub	tom	no
tshum	ub	tshum	no
tshum	lwj	tshum	liam
kev	phem	kev	zoo
coob	pab	coob	pawg
sib	pab	sib	koom
xav	quaj	xav	qw
yuav	quaj	yuav	qw
cuab	yeeb	cuab	tam
tiav	nkauj	tiav	nraug
rau	kwv	rau	tij
raug	qhuab	raug	qhia
qub	zaub	qub	mov
muab	nom	muab	tswv
qhov	ub	qhov	nuav
coj	nruj	coj	tsiv
lug	nyaj	lug	kub
ntxim	khawm	ntxim	puag
piav	tes	piav	taw
nug	ub	nug	no
sib	hlub	sib	nyiam
muaj	kev	muaj	cai
tus	laus	tus	hluas
txaj	ntshaa	txaj	ntsim
kev	npoj	kev	tuag
lub	caij	lub	nyoog
tsa	tes	tsa	taw
tej	siab	tej	ntsws
lub	koob	lub	meej
lus	paj	lus	cua
kev	dab	kev	qhua
txawj	zam	txawj	hloov
laus	ncaj	laus	ncees
ua	mab	ua	suav
puv	roob	puv	hav
tiav	ub	tiav	no
rau	zej	rau	zos
tag	zej	tag	zos
tej	zej	tej	zos
tham	mus	tham	los
tso	daj	tso	luag
nrhiav	noj	nrhiav	haus
yus	vaj	yus	tsev
vog	ub	vog	no
cov	zoo	cov	phem
ua	lwj	ua	liam
ua	ntaub	ua	ntawv
niaj	hnub	niaj	hmo
thov	ub	thov	no
qhua	qab	qhua	tsau
tseem	kev	tseem	cai
tswv	teb	tswv	chaw
raug	txhom	raug	tua
muaj	vaj	muaj	tsev
cov	kwv	cov	tij
raws	kev	raws	cai
qhuas	qab	qhuas	tsaus
muaj	qab	muaj	hauv
kom	yeej	kom	swb
rov	siab	rov	ntsws
cuag	poj	cuag	yawm
vaaj	luj	vaaj	miv
sib	txhawb	sib	pab
ntsis	ntaj	ntsis	phom
kub	zeb	kub	tsua
neeg	loj	neeg	siab
